alunos_ativos,adesao,taxa_de_leitura,qtd_msgs_enviadas_por_aluno_por_dia,meses,churn
421,0.98981411520073,0.76909011005098,3.05,111,0
794,0.99,0.73,5.47,111,0
1217,0.9998378859046042,0.81436961262013,6.84,109,0
455,0.99118272034,0.81279053,9.75,109,0
677,1,0.79,9.04,109,0
996,0.9997590066,0.89,6.89,106,0
669,0.999940729937039,0.880325318443054,5.7,106,0
346,0.9921780364984104,0.87,7.52,105,0
1408,0.9999531414005096,0.8,8.15,104,0
480,0.9935062,0.894749674308028,8.87,104,0
596,0.99881707,0.846965115058,10.78,99,0
405,0.9997729797034092,0.811662007087,5.54,103,0
932,0.99861,0.8235425726716802,5.84,101,0
506,0.9942410479605904,0.832103508889053,4.72,103,0
2225,0.834420021262094,0.574239765551035,1.47,80,0
588,0.98453218057,0.5035425077,5.31,88,0
793,0.996086,0.77358501355037,6.82,25,0
395,0.999084239067,0.72,14.43,100,0
2753,0.9981427466321096,0.6155905922383067,12.45,96,0
1253,0.9991697394830046,0.9106572069,4.55,100,0
342,0.99,0.74,3.21,100,0
440,0.9835015563095,0.7788269577089,3.86,99,0
425,0.99996904025,0.864290237249048,9.3,100,0
873,0.9847783409016,0.8168813790094,3.47,99,0
358,0.990566461627905,0.87,3.89,56,0
677,0.98018,0.8849064,3.29,92,0
497,0.997550975792059,0.901,3.92,93,0
415,0.9996837045,0.786046,11.31,95,0
1278,0.8783075,0.165365668944065,0.0087,84,0
535,0.9958642629694606,0.8635830542032,4.84,96,0
830,0.996167845396091,0.84273566401083,4.78,87,0
783,0.9996104881994403,0.84442686160205,11.57,91,0
847,0.992949550182027,0.83566038,10.68,93,0
676,0.9987971986511301,0.8432402282023,12.36,96,0
1193,1,0.7897421229048046,8.8,96,0
363,0.9863973943085,0.6824260868420904,2.97,95,0
509,0.99994768232709,0.86,8.29,94,0
1701,0.999116182063,0.89,2.56,96,0
752,0.9995074204012,0.838424090758509,4.66,94,0
1189,0.99862023,0.60276991909012,15.64,92,0
691,0.9997676015,0.88019058,9.39,94,0
869,0.987368862881103,0.84,4.17,94,0
519,0.999796686021,0.85,10.12,94,0
462,1,0.81,7.51,94,0
370,0.98,0.85,13.52,93,0
1092,0.99998795065,0.832863911034,12.91,94,0
352,1,0.8,4.17,93,0
638,0.96,0.533575959016,2.1,92,0
670,0.9990957088922603,0.91,7.97,93,0
418,0.997580548660019,0.84,8.29,88,0
689,0.987965089,0.904703,4.09,90,0
397,0.996411797689017,0.85,8.41,88,0
484,1,0.848632169081,9.25,91,0
1504,0.971776485047056,0.87,2.89,91,0
677,0.99,0.80088,2.64,91,0
371,1,0.905240794993007,4.4,79,0
909,0.99786055,0.7367252395054,8.5,88,0
397,0.37880018,0.24881723994086058,0.73,90,0
1614,0.995648029,0.81829029,4.78,88,0
1529,0.99045,0.91021,7.08,88,0
934,1,0.8533705130026027,3,88,0
454,1,0.912465891356053,11.14,88,0
557,0.9997876909189066,0.87,8.25,88,0
369,0.92,0.87,9.47,87,0
646,0.99983565441056,0.8237764974600066,6.38,88,0
929,0.99,0.87705342573044,2.53,88,0
425,0.9954766255712909,0.8550013772081,4.47,87,0
452,0.9879135043014,0.7038740114248072,4.06,88,0
629,1,0.7550276825089033,3.35,87,0
623,0.98328088,0.770245870033,4.95,86,0
1335,0.972230615918083,0.7058,2.31,85,0
623,0.9816011836501073,0.7066,3.12,85,0
513,0.99,0.77085,2.06,84,0
380,0.9883209052,0.9065,6.07,85,0
423,1,0.8,3.61,83,0
390,1,0.878037,3.12,84,0
964,0.9913943558739508,0.83,5.69,84,0
549,0.96054,0.86829165084,3.88,83,0
743,1,0.8625306964931065,1.82,83,0
1190,0.97235057672095,0.6954635579926014,4.25,82,0
463,0.97261310814048,0.8587212692968089,3.71,82,0
434,1,0.83,5.13,83,0
342,0.99972807339079,0.82,3.49,83,0
931,0.99631599078,0.8170735549095095,7.8,81,0
557,0.9930373815909901,0.835068073,9.3,82,0
516,1,0.8541047,12.13,82,0
1882,0.9789354805082,0.77,5.84,81,0
862,0.952024069,0.82,12.16,82,0
483,0.9996704212064,0.79,6.1,81,0
465,0.9947014,0.86,5.94,81,0
574,0.96,0.75,5.26,83,0
814,0.981928615669096,0.87,5.49,83,0
404,0.993854863177806,0.751036,1.66,81,0
517,0.99779869663048,0.8105880988819065,4,81,0
876,0.99660096,0.87263904782043,5.07,81,0
481,0.9996686928112014,0.59780322305,3.56,81,0
367,1,0.83,1.9,79,0
394,0.9962417554032,0.8736936178096,3.76,80,0
780,0.99961200670044,0.768023,10.69,80,0
568,0.99026,0.812685052,8.24,80,0
486,0.9931450376159803,0.801048,9.42,76,0
451,0.96738086,0.7042,5.22,79,0
430,0.9968405842939078,0.81391991058,2.78,76,0
487,0.993357447045029,0.9162120167087,6.1,76,0
428,1,0.7906615069084,4.37,79,0
411,0.952126153300043,0.6,2.29,76,0
1055,0.8907490074896804,0.6996973518066,6.99,76,0
736,0.92,0.69,3.99,76,0
927,0.98567055,0.8463172997825107,2.99,79,0
455,0.995043,0.86704011,6.25,79,0
627,0.9996013420025,0.834683093,10.94,76,0
463,0.993181557718025,0.778996547646036,1.09,73,0
782,0.9999831092,0.830032169602,4.93,75,0
348,0.99996968227019,0.723875094,6.07,74,0
732,1,0.8701440749910081,4.14,76,0
436,1,0.906578011,5.65,76,0
416,0.99782941493042,0.77,13.88,76,0
503,0.99994804380036,0.7780986369569074,16.26,76,0
593,0.98911214818091,0.68075,0.6584521612058,73,0
1518,0.998005244072082,0.52094061,11.17,76,0
852,0.97,0.8858862715083,6.22,76,0
364,1,0.78,8.25,75,0
423,0.96,0.6294747084,6.44,76,0
387,0.9993621498092,0.6204097049,2.78,76,0
636,0.9997097,0.87,5.04,76,0
1353,0.9963110304204404,0.8153629544343026,13.46,76,0
390,0.9989444838331903,0.77254751064,1.89,73,0
359,1,0.9,5.55,75,0
604,0.943841907355074,0.7,1.47,72,0
383,0.98,0.706972648118087,6.07,73,0
410,0.9959173062887509,0.89,4.09,72,0
808,1,0.85,10.2,71,0
569,0.99920499506061,0.864971055,7.95,72,0
673,1,0.690333992691067,1.47,73,0
971,0.9550305269075,0.79,3.61,62,0
402,0.99568548069,0.8316067318061,6.75,70,0
423,0.98669494032025,0.896447708,7.43,70,0
1086,1,0.8715013,11.88,70,0
561,0.9946631439706302,0.9009079,7.67,70,0
773,0.99967598769048,0.87428462701093,9.81,69,0
355,1,0.889540332119027,8.13,69,0
