alunos_ativos,adesao,taxa_de_leitura,qtd_msgs_enviadas_por_aluno_por_dia,meses,churn
179,0.99,0.708838313727049,9.82,113,0
794,0.99,0.73,5.47,111,0
1217,0.9998378859046042,0.81436961262013,6.84,109,0
455,0.99118272034,0.81279053,9.75,109,0
677,1,0.79,9.04,109,0
301,0.9974015,0.781591197088,9.77,108,0
996,0.9997590066,0.89,6.89,106,0
669,0.999940729937039,0.880325318443054,5.7,106,0
346,0.9921780364984104,0.87,7.52,105,0
1408,0.9999531414005096,0.8,8.15,104,0
480,0.9935062,0.894749674308028,8.87,104,0
596,0.99881707,0.846965115058,10.78,99,0
405,0.9997729797034092,0.811662007087,5.54,103,0
932,0.99861,0.8235425726716802,5.84,101,0
506,0.9942410479605904,0.832103508889053,4.72,103,0
84,0.9995337180159702,0.88111473091,3.8,103,0
178,0.999049,0.74,22.39,101,0
227,0.993867168827074,0.9014,4.83,101,0
229,0.99954183446084,0.87,5.72,101,0
588,0.98453218057,0.5035425077,5.31,88,0
140,0.9927004435097,0.820670306067,5.21,100,0
793,0.996086,0.77358501355037,6.82,25,0
395,0.999084239067,0.72,14.43,100,0
2753,0.9981427466321096,0.6155905922383067,12.45,96,0
55,1,0.89,12.83,100,0
1253,0.9991697394830046,0.9106572069,4.55,100,0
440,0.9835015563095,0.7788269577089,3.86,99,0
425,0.99996904025,0.864290237249048,9.3,100,0
61,1,0.84,9.25,100,0
358,0.990566461627905,0.87,3.89,56,0
54,1,0.9347011,10.47,94,0
335,0.9965013130821009,0.91880142088,9.18,93,0
330,1,0.7555603591261043,5.25,96,0
290,0.993858043,0.9055092954051,7.6,97,0
497,0.997550975792059,0.901,3.92,93,0
415,0.9996837045,0.786046,11.31,95,0
535,0.9958642629694606,0.8635830542032,4.84,96,0
830,0.996167845396091,0.84273566401083,4.78,87,0
783,0.9996104881994403,0.84442686160205,11.57,91,0
847,0.992949550182027,0.83566038,10.68,93,0
676,0.9987971986511301,0.8432402282023,12.36,96,0
1193,1,0.7897421229048046,8.8,96,0
63,1,0.703377332042,10.32,95,0
509,0.99994768232709,0.86,8.29,94,0
752,0.9995074204012,0.838424090758509,4.66,94,0
335,0.99817774343059,0.8387419573318807,9.6,94,0
1189,0.99862023,0.60276991909012,15.64,92,0
329,1,0.892906,12.65,28,0
293,1,0.79355058,6.65,94,0
691,0.9997676015,0.88019058,9.39,94,0
63,0.998987854251012,0.836776042,6.43,91,0
869,0.987368862881103,0.84,4.17,94,0
519,0.999796686021,0.85,10.12,94,0
227,0.99644753016,0.749764996612033,6.07,82,0
462,1,0.81,7.51,94,0
216,0.995473592493071,0.90261796049,11.51,94,0
224,1,0.920035,6.52,93,0
370,0.98,0.85,13.52,93,0
138,0.99617083501091,0.9282192302047,12.77,92,0
73,0.984380237900097,0.916785866870029,11.07,92,0
12,1,0.917706268058,12.83,92,0
1092,0.99998795065,0.832863911034,12.91,94,0
118,0.998081,0.93,8.56,88,0
352,1,0.8,4.17,93,0
670,0.9990957088922603,0.91,7.97,93,0
102,1,0.9067,4.03,92,0
100,0.9996053,0.901217012,12.14,88,0
418,0.997580548660019,0.84,8.29,88,0
689,0.987965089,0.904703,4.09,90,0
231,0.9955710054942051,0.8426684654004608,7.16,91,0
397,0.996411797689017,0.85,8.41,88,0
484,1,0.848632169081,9.25,91,0
371,1,0.905240794993007,4.4,79,0
909,0.99786055,0.7367252395054,8.5,88,0
75,0.99614035088,0.9073,4.93,88,0
339,0.997015,0.9249938192015056,7.29,63,0
1614,0.995648029,0.81829029,4.78,88,0
173,0.9849710093843098,0.76064,3.61,88,0
66,0.9976601952642802,0.949469053,6.83,88,0
198,0.9982078,0.91,9.98,88,0
284,1,0.9507921166935904,26.94,88,0
1529,0.99045,0.91021,7.08,88,0
297,0.99265259884019,0.81361922039,7.68,88,0
454,1,0.912465891356053,11.14,88,0
557,0.9997876909189066,0.87,8.25,88,0
369,0.92,0.87,9.47,87,0
646,0.99983565441056,0.8237764974600066,6.38,88,0
270,0.984133012033,0.50174944386098,3.75,87,0
425,0.9954766255712909,0.8550013772081,4.47,87,0
114,1,0.896624939392034,7.45,88,0
452,0.9879135043014,0.7038740114248072,4.06,88,0
131,0.99,0.9316835811048,7.03,87,0
83,0.9988645247029,0.8535938672693207,18.09,88,0
277,1,0.916573027,5.84,54,0
109,0.9992552135055,0.9161844289844401,8.43,88,0
623,0.98328088,0.770245870033,4.95,86,0
301,0.996030874005,0.8967869595047,5.68,86,0
380,0.9883209052,0.9065,6.07,85,0
115,1,0.9071087063,8.72,83,0
68,1,0.94,10.17,83,0
423,1,0.8,3.61,83,0
224,0.997526019953076,0.77,6.03,82,0
199,0.9999318243796019,0.8819386966063,9.77,84,0
964,0.9913943558739508,0.83,5.69,84,0
240,0.9995095,0.8210801575836032,7.82,84,0
549,0.96054,0.86829165084,3.88,83,0
314,1,0.8159352555694406,15.43,82,0
1190,0.97235057672095,0.6954635579926014,4.25,82,0
282,0.9953191087,0.84308099,6.18,82,0
463,0.97261310814048,0.8587212692968089,3.71,82,0
434,1,0.83,5.13,83,0
174,1,0.9106542913784409,6.13,82,0
931,0.99631599078,0.8170735549095095,7.8,81,0
557,0.9930373815909901,0.835068073,9.3,82,0
516,1,0.8541047,12.13,82,0
1882,0.9789354805082,0.77,5.84,81,0
862,0.952024069,0.82,12.16,82,0
483,0.9996704212064,0.79,6.1,81,0
121,0.9912715379099,0.8368789009737704,11.65,81,0
37,1,0.897916015,7.37,81,0
465,0.9947014,0.86,5.94,81,0
574,0.96,0.75,5.26,83,0
814,0.981928615669096,0.87,5.49,83,0
50,1,0.90531734025,4.55,81,0
255,0.9997022,0.8798559436844602,11.52,78,0
517,0.99779869663048,0.8105880988819065,4,81,0
876,0.99660096,0.87263904782043,5.07,81,0
394,0.9962417554032,0.8736936178096,3.76,80,0
38,1,0.96,9.31,80,0
90,1,0.94,22.1,77,0
55,0.9618825037130047,0.92679739381066,16.72,78,0
780,0.99961200670044,0.768023,10.69,80,0
568,0.99026,0.812685052,8.24,80,0
273,1,0.8969342461044,6.96,79,0
486,0.9931450376159803,0.801048,9.42,76,0
451,0.96738086,0.7042,5.22,79,0
144,1,0.88381023622017,13.25,77,0
73,0.99267243451093,0.834506277072,3.91,79,0
487,0.993357447045029,0.9162120167087,6.1,76,0
428,1,0.7906615069084,4.37,79,0
1055,0.8907490074896804,0.6996973518066,6.99,76,0
736,0.92,0.69,3.99,76,0
455,0.995043,0.86704011,6.25,79,0
627,0.9996013420025,0.834683093,10.94,76,0
66,0.9996043,0.9089092629756804,11.57,78,0
