alunos_ativos,adesao,taxa_de_leitura,qtd_msgs_enviadas_por_aluno_por_dia,meses,churn
1217,0.9998378859046042,0.81436961262013,6.84,109,0
455,0.99118272034,0.81279053,9.75,109,0
677,1,0.79,9.04,109,0
996,0.9997590066,0.89,6.89,106,0
669,0.999940729937039,0.880325318443054,5.7,106,0
346,0.9921780364984104,0.87,7.52,105,0
1408,0.9999531414005096,0.8,8.15,104,0
480,0.9935062,0.894749674308028,8.87,104,0
596,0.99881707,0.846965115058,10.78,99,0
405,0.9997729797034092,0.811662007087,5.54,103,0
932,0.99861,0.8235425726716802,5.84,101,0
506,0.9942410479605904,0.832103508889053,4.72,103,0
793,0.996086,0.77358501355037,6.82,25,0
1253,0.9991697394830046,0.9106572069,4.55,100,0
425,0.99996904025,0.864290237249048,9.3,100,0
358,0.990566461627905,0.87,3.89,56,0
497,0.997550975792059,0.901,3.92,93,0
415,0.9996837045,0.786046,11.31,95,0
535,0.9958642629694606,0.8635830542032,4.84,96,0
830,0.996167845396091,0.84273566401083,4.78,87,0
783,0.9996104881994403,0.84442686160205,11.57,91,0
847,0.992949550182027,0.83566038,10.68,93,0
676,0.9987971986511301,0.8432402282023,12.36,96,0
1193,1,0.7897421229048046,8.8,96,0
509,0.99994768232709,0.86,8.29,94,0
752,0.9995074204012,0.838424090758509,4.66,94,0
691,0.9997676015,0.88019058,9.39,94,0
869,0.987368862881103,0.84,4.17,94,0
519,0.999796686021,0.85,10.12,94,0
462,1,0.81,7.51,94,0
1092,0.99998795065,0.832863911034,12.91,94,0
352,1,0.8,4.17,93,0
670,0.9990957088922603,0.91,7.97,93,0
418,0.997580548660019,0.84,8.29,88,0
689,0.987965089,0.904703,4.09,90,0
397,0.996411797689017,0.85,8.41,88,0
484,1,0.848632169081,9.25,91,0
371,1,0.905240794993007,4.4,79,0
1614,0.995648029,0.81829029,4.78,88,0
1529,0.99045,0.91021,7.08,88,0
454,1,0.912465891356053,11.14,88,0
557,0.9997876909189066,0.87,8.25,88,0
646,0.99983565441056,0.8237764974600066,6.38,88,0
425,0.9954766255712909,0.8550013772081,4.47,87,0
380,0.9883209052,0.9065,6.07,85,0
423,1,0.8,3.61,83,0
964,0.9913943558739508,0.83,5.69,84,0
434,1,0.83,5.13,83,0
931,0.99631599078,0.8170735549095095,7.8,81,0
557,0.9930373815909901,0.835068073,9.3,82,0
516,1,0.8541047,12.13,82,0
483,0.9996704212064,0.79,6.1,81,0
465,0.9947014,0.86,5.94,81,0
517,0.99779869663048,0.8105880988819065,4,81,0
876,0.99660096,0.87263904782043,5.07,81,0
